# Generated by refresh-data.py on 2026-07-06. Do not edit by hand
# (hand corrections belong in institutional-overrides.json).
# domain,type where type is government|education|healthcare|utility.
# Sources: Wikidata P856 (CC0), Annuaire de l'administration (Licence
# Ouverte v2), GSA/govt-urls (US public domain).
adamowka.pl,government
adams.gov.ph,government
adamscounty.org,government
adamscounty.us,government
adamscountyia.com,government
adamscountyms.net,government
adamscountynd.com,government
adamshospital.org,healthcare
adamsminnesota.com,government
adamstennessee.org,government
adamstwp.org,government
adamuz.es,government
adana.bel.tr,government
adananumune.gov.tr,healthcare
adanasehir.saglik.gov.tr,healthcare
adand.hu,government
adanero.es,government
adaoh.org,government
adaok.com,government
adar81.fr,government
adaseni.ro,government
adasztevel.hu,government
adavem40.fr,government
adavip-53.org,government
adavip92.fr,government
adavirs.com,government
adaweb.net,government
adazi.lv,government
adcare.com,healthcare
adclinic.com,healthcare
addingtonhighlands.ca,government
addisla.org,government
addisonadvantage.org,government
addisoncounty.com,government
addisontx.gov,government
addisonvt.net,government
addisonwi.org,government
addystonohio.org,government
adefemihospital.com,healthcare
adeje.es,government
adelaidemetcalfe.on.ca,government
adelange.mairie.com,government
adelberg.de,government
adelebsen.de,government
adelie-vamb.fr,government
adeliowa.org,government
adellwi.govoffice2.com,government
adelmannsfelden.de,government
adelsdorf.de,government
adelsheim.de,government
adelshofen.de,government
adelsried.de,government
adelvalleturismo.com.ar,government
adelzhausen.de,government
ademuz.es,government
adenau.de,government
adenbuettel.de,government
adendorf.de,government
aderklaa.gv.at,government
adhb.health.nz,healthcare
adi-il.org.il,healthcare
adigeisk.ru,government
adigital.pntic.mec.es,government
adihusadakapasari.co.id,healthcare
adil.dromenet.org,government
adil01.org,government
adil03.org,government
adil04-05.org,government
adil06.org,government
adil08.org,government
adil10.org,government
adil12.org,government
adil13.org,government
adil16.org,government
adil17.org,government
adil19.org,government
adil21.fr,government
adil22.org,government
adil24.org,government
adil25.org,government
adil27.org,government
adil29.org,government
adil2a.org,government
adil2b.org,government
adil30.org,government
adil31.org,government
adil32.org,government
adil33.org,government
adil34.org,government
adil35.org,government
adil36.org,government
adil39.org,government
adil40.fr,government
adil41.org,government
adil42-43.org,government
adil44.fr,government
adil45-28.org,government
adil46.org,government
adil48.org,government
adil49.org,government
adil53.org,government
adil54-55.org,government
adil56.org,government
adil60.org,government
adil61.org,government
adil63.org,government
adil64.org,government
adil65.org,government
adil66.org,government
adil67.org,government
adil68.org,government
adil69.org,government
adil70.org,government
adil71.fr,government
adil71.org,government
adil73.org,government
adil74.org,government
adil75.org,government
adil76.org,government
adil77.org,government
adil78.org,government
adil79.org,government
adil80.org,government
adil82.org,government
adil83.org,government
adil84.fr,government
adil85.org,government
adil86.com,government
adil87.org,government
adil89.org,government
adil91.org,government
adil92.org,government
adil93.org,government
adil94.org,government
adil95.org,government
adil971.org,government
adil973.fr,government
adil974.com,government
adilmartinique.org,government
adilnord.fr,government
adilnpdc.fr,government
adiltarn.org,government
adinfer.free.fr,government
adissan.fr,government
adityabirlahospital.com,healthcare
adityajyoteyehospital.org,healthcare
adiyaman.bel.tr,government
adiyamaneah.saglik.gov.tr,healthcare
adjtos.ca,government
adjud.ro,government
adjuntas.com,government
adkhospital.mv,healthcare
adlc.us,government
adlkofen.de,government
adlnet.org,government
adlwang.at,government
adm-aleks.ru,government
adm-arefinskii.ru,government
adm-avchurino.ru,government
adm-berezhki.ru,government
adm-betliza.ru,government
adm-bolhov.ru,government
adm-bor.ru,government
adm-borovskiy.ru,government
adm-bruhoveckaya.ru,government
adm-bulat.ru,government
adm-burmakino.ru,government
adm-carevskoe.ru,government
adm-gruzino.ru,government
adm-hasyn.ru,government
adm-hx.ru,government
adm-kaskara.ru,government
adm-kazakovo.ru,government
adm-kb.ru,government
adm-kyivozy.ru,government
adm-lisino.ru,government
adm-lunevo.ru,government
adm-lysva.ru,government
adm-migol.ru,government
adm-mosadovoe.ru,government
adm-mulino.ru,government
adm-nazarevskoe.ru,government
adm-nekouz.ru,government
adm-nevelsk.ru,government
adm-nezaymanovskaya.ru,government
adm-nurma.ru,government
adm-okha.ru,government
adm-olhov.ru,government
adm-ost.ru,government
adm-pischma.ru,government
adm-pshenichnoe.ru,government
adm-pudomyagi.ru,government
adm-pushkino.ru,government
adm-pyatiizbyanka.ru,government
adm-ryabovo.ru,government
adm-sov.ru,government
adm-stepanovo.ru,government
adm-tasp.narod.ru,government
adm-tavda.ru,government
adm-tomari.ru,government
adm-tyksa.ru,government
adm-urla.ru,government
adm-usad.ru,government
adm-ushkozero.ru,government
adm-ussuriisk.ru,government
adm-verhotury.ru,government
adm-vidnoe.ru,government
adm-vys.ru,government
adm-yabl.ru,government
adm-yankulskaya.ru,government
adm-zheleznovodsk.ru,government
adm.boksitogorsk.ru,government
adm.fokino-prim.ru,government
adm.nov.ru,government
adm.solkam.ru,government
admandr.ru,government
admannshagen-bargeshagen.de,government
admastonbromley.com,government
admbelog.ru,government
admbesson.ru,government
admbikovo.ru,government
admborovskoe.ru,government
admbrk.ru,government
admbsp.ru,government
admbunkovo.ru,government
admchernovsky.ru,government
admdetchino.ru,government
admdomna.ru,government
admdonskoy.ru,government
admduliapino.ru,government
admdzd.sdep.ru,government
admegorevka.ru,government
admekaterinovka.ru,government
admglebovo.ru,government
admgondir.ru,government
admgor.nnov.ru,government
admgusev.ru,government
admhimki.ru,government
admin-borodino.ru,government
admin-glajevo.ru,government
admin-gorlovka.ru,government
admin-kr-kluch.ru,government
admin-suet.ru,government
adminborisoglebsk.ru,government
adminelovo.ru,government
admingromovo.ru,government
adminmgp.ru,government
adminmihailovskoe.ru,government
adminnewlife26.ru,government
adminpasha.ru,government
adminpreob.ru,government
adminstarrayon.ru,government
adminsudbish.ru,government
admintogod.ru,government
adminvsp.ru,government
admiralokrug.ru,government
admireks.com,government
admiskra.ru,government
admkaz.my1.ru,government
admkgoso.ru,government
admkholmsk.ru,government
admkrasnoselec.ru,government
admkrasnoyarskoe.ru,government
admkrivskoe.ru,government
admkucherla.ru,government
admkudymok.ru,government
admkumertau.ru,government
admkurasovka.ru,government
admkuzn76.yarregion.ru,government
admkvashenki.ru,government
admleninskij.ucoz.net,government
admlub.ru,government
admluch.ru,government
admmoirgakli.ru,government
admmokrassovet.ru,government
admmosrednekan.ru,government
admnazarovo.ru,government
admneb.ucoz.net,government
admnovocherkassk.ru,government
admnovosherbin.ru,government
admnovsvet.ru,government
admnsergi.ru,government
admnsp.ru,government
admont.at,government
admotkaznoe.ru,government
admozr.ru,government
admpetrovsk.ru,government
admpetrovskoe.ru,government
admpotanino.ru,government
admpravd.ru,government
admr2a.fr,government
admrabit.ru,government
admrazdolye.ru,government
admrevda.ru,government
admroshino.ru,government
admrussa.ru,government
admsanch.ru,government
admselenga.ru,government
admselivanovo.ru,government
admselkm.ru,government
admselobrin.ru,government
